"Site","Prey","Year","n.obs","h.mean","pi","pi0","N.mean"
"Tapotupotu Bay West","UNID Snail",2004,1,0.208645394350574,0.0175438596491228,0.0192307692307692,NA
"Tauranga Bay North","Cellana radians",2004,1,0.669797146747451,0.0434782608695652,0.0588235294117647,NA
"Tauranga Bay North","Haustrum scobina",2004,3,1.36890857631226,0.130434782608696,0.176470588235294,NA
"Tauranga Bay North","Not Feeding",2004,17,NA,0.739130434782609,1,NA
"Tauranga Bay North","Paratrophon patens",2004,1,2.33085151649766,0.0434782608695652,0.0588235294117647,NA
"Tauranga Bay North","UNID Diloma",2004,1,0.077153915184073,0.0434782608695652,0.0588235294117647,NA
"Tauranga Head","Cantharidella tesselata",2004,7,0.542427858869697,0.0272373540856031,0.0291666666666667,NA
"Tauranga Head","Diloma aethiops",2004,1,2.26850913479976,0.00389105058365759,0.00416666666666667,NA
"Tauranga Head","Diloma bicanaliculata",2004,1,0.347390648817714,0.00389105058365759,0.00416666666666667,NA
"Tauranga Head","Not Feeding",2004,240,NA,0.933852140077821,1,NA
"Tauranga Head","Patelloida corticata",2004,1,0.186903967615608,0.00389105058365759,0.00416666666666667,NA
"Tauranga Head","Plaxiphora caelata",2004,2,1.37995542397692,0.00778210116731518,0.00833333333333333,NA
"Tauranga Head","Risellopsis varia",2004,1,1.0620946186268,0.00389105058365759,0.00416666666666667,NA
"Tauranga Head","Siphonaria australis",2004,2,0.150765373671172,0.00778210116731518,0.00833333333333333,NA
"Tauranga Head","Sypharochiton pelliserpentis",2004,1,1.84340576651162,0.00389105058365759,0.00416666666666667,NA
"Tauranga Head","UNID",2004,1,NA,0.00389105058365759,0.00416666666666667,NA
"Tauranga Head SWcorner","Cellana radians",2004,1,0.511702185222087,0.0555555555555556,0.111111111111111,NA
"Tauranga Head SWcorner","Diloma bicanaliculata",2004,1,0.315725899620994,0.0555555555555556,0.111111111111111,NA
"Tauranga Head SWcorner","Mytilus galloprovincialis",2004,5,2.41754491737454,0.277777777777778,0.555555555555556,NA
"Tauranga Head SWcorner","Not Feeding",2004,9,NA,0.5,1,NA
"Tauranga Head SWcorner","Siphonaria australis",2004,1,0.140158091592086,0.0555555555555556,0.111111111111111,NA
"Tauranga Head SWcorner","Turbo smaragdus",2004,1,3.60719527995941,0.0555555555555556,0.111111111111111,NA
"Tauranga Head West","Diloma aethiops",2004,1,0.132631156575187,0.00561797752808989,0.00591715976331361,NA
"Tauranga Head West","Haustrum scobina",2004,2,2.12264427578672,0.0112359550561798,0.0118343195266272,NA
"Tauranga Head West","Not Feeding",2004,169,NA,0.949438202247191,1,NA
"Tauranga Head West","Patelloida corticata",2004,1,0.336055092216827,0.00561797752808989,0.00591715976331361,NA
"Tauranga Head West","Trimusculus conicus",2004,4,0.576943457380932,0.0224719101123595,0.0236686390532544,NA
"Tauranga Head West","UNID Snail",2004,1,0.0301062062183188,0.00561797752808989,0.00591715976331361,NA
"Tungutu Point","Diloma aethiops",2004,1,0.820923596476292,0.0142857142857143,0.0151515151515152,NA
"Tungutu Point","Not Feeding",2004,66,NA,0.942857142857143,1,NA
"Tungutu Point","Turbo smaragdus",2004,2,3.48944188175227,0.0285714285714286,0.0303030303030303,NA
"Tungutu Point","Zeacumantus subcarinatus",2004,1,0.512655598877105,0.0142857142857143,0.0151515151515152,NA
"Waikuku Bay","Cellana radians",1969,1,0.244338005295569,0.0114942528735632,0.0133333333333333,NA
"Waikuku Bay","Diloma aethiops",1969,1,0.136247281122792,0.0114942528735632,0.0133333333333333,NA
"Waikuku Bay","Nerita atramentosa",1969,9,1.34352167636005,0.103448275862069,0.12,NA
"Waikuku Bay","Not Feeding",1969,75,NA,0.862068965517241,1,NA
"Waikuku Bay","Turbo smaragdus",1969,1,8.05223208966002,0.0114942528735632,0.0133333333333333,NA
"Waikukua Bay-2","Nerita atramentosa",1969,7,0.677844314988693,0.179487179487179,0.225806451612903,NA
"Waikukua Bay-2","Not Feeding",1969,31,NA,0.794871794871795,1,NA
"Waikukua Bay-2","Turbo smaragdus",1969,1,3.24077974272452,0.0256410256410256,0.032258064516129,NA
"Ward Beach","Diloma aethiops",2004,1,1.60838123790928,0.0833333333333333,0.0909090909090909,NA
"Ward Beach","Not Feeding",2004,11,NA,0.916666666666667,1,NA
"Whakatu Point","Not Feeding",2004,19,NA,1,1,NA
"Whangarei","Crassostrea gigas",1969,1,2.56876165159124,0.00284090909090909,0.00352112676056338,NA
"Whangarei","Haustrum scobina",1969,6,2.39495771572765,0.0170454545454545,0.0211267605633803,NA
"Whangarei","Nerita atramentosa",1969,57,0.639003209053075,0.161931818181818,0.200704225352113,NA
"Whangarei","Not Feeding",1969,284,NA,0.806818181818182,1,NA
"Whangarei","Risellopsis varia",1969,1,0.516171464381115,0.00284090909090909,0.00352112676056338,NA
"Whangarei","Turbo smaragdus",1969,3,5.72219507232123,0.00852272727272727,0.0105633802816901,NA
