monthly mean,year,month,month,,40-year average 1967-2006,,monthly mean anomalies,5MRM Anaom-alies,,30-year average 1967-1996,35-year average 1967-2001
16.79,1978,11,Nov-78,,,,0.16,0.27,,,
18.30,1978,12,Dec-78,,,,0.12,0.22,,,
20.65,1979,1,Jan-79,,,,0.82,0.27,,,
20.41,1979,2,Feb-79,,,,-0.11,0.31,,,
20.72,1979,3,Mar-79,,,,0.35,0.25,,,
19.53,1979,4,Apr-79,,,,0.35,0.07,,,
17.25,1979,5,May-79,,,,-0.17,0.12,,,
15.57,1979,6,Jun-79,,,,-0.08,0.22,,,
14.55,1979,7,Jul-79,,,,0.16,0.25,,,
14.81,1979,8,Aug-79,,,,0.83,0.36,,,
14.88,1979,9,Sep-79,,,,0.50,0.55,,,
15.65,1979,10,Oct-79,,,,0.37,0.66,,,
17.50,1979,11,Nov-79,,,,0.87,0.41,,,
18.89,1979,12,Dec-79,,,,0.70,0.33,,,
19.44,1980,1,Jan-80,,,,-0.40,0.06,,,
20.60,1980,2,Feb-80,,,,0.09,-0.37,,,
19.39,1980,3,Mar-80,,,,-0.99,-0.61,,,
17.91,1980,4,Apr-80,,,,-1.26,-0.62,,,
16.90,1980,5,May-80,,,,-0.51,-0.72,,,
15.23,1980,6,Jun-80,,,,-0.42,-0.66,,,
13.96,1980,7,Jul-80,,,,-0.43,-0.48,,,
13.31,1980,8,Aug-80,,,,-0.66,-0.41,,,
13.99,1980,9,Sep-80,,,,-0.39,-0.45,,,
15.14,1980,10,Oct-80,,,,-0.15,-0.56,,,
16.03,1980,11,Nov-80,,,,-0.60,-0.22,,,
17.16,1980,12,Dec-80,,,,-1.02,0.07,,,
20.88,1981,1,Jan-81,,,,1.05,0.33,,,
21.59,1981,2,Feb-81,,,,1.07,0.74,,,
21.54,1981,3,Mar-81,,,,1.16,1.11,,,
20.61,1981,4,Apr-81,,,,1.43,1.07,,,
18.26,1981,5,May-81,,,,0.85,0.90,,,
16.47,1981,6,Jun-81,,,,0.83,0.63,,,
14.63,1981,7,Jul-81,,,,0.24,0.22,,,
13.79,1981,8,Aug-81,,,,-0.19,-0.02,,,
13.74,1981,9,Sep-81,,,,-0.64,-0.27,,,
14.94,1981,10,Oct-81,,,,-0.34,-0.21,,,
16.22,1981,11,Nov-81,,,,-0.41,-0.09,,,
18.73,1981,12,Dec-81,,,,0.54,0.03,,,
20.24,1982,1,Jan-82,,,,0.40,0.06,,,
20.47,1982,2,Feb-82,,,,-0.04,0.08,,,
20.16,1982,3,Mar-82,,,,-0.21,-0.08,,,
18.86,1982,4,Apr-82,,,,-0.31,-0.20,,,
17.16,1982,5,May-82,,,,-0.25,-0.23,,,
15.46,1982,6,Jun-82,,,,-0.19,-0.22,,,
14.17,1982,7,Jul-82,,,,-0.21,-0.13,,,
13.85,1982,8,Aug-82,,,,-0.12,-0.14,,,
14.48,1982,9,Sep-82,,,,0.10,-0.22,,,
15.01,1982,10,Oct-82,,,,-0.27,-0.44,,,
16.04,1982,11,Nov-82,,,,-0.59,-0.87,,,
16.85,1982,12,Dec-82,,,,-1.34,-1.38,,,
17.60,1983,1,Jan-83,,,,-2.23,-1.62,,,
18.03,1983,2,Feb-83,,,,-2.49,-1.68,,,
18.94,1983,3,Mar-83,,,,-1.43,-1.64,,,
18.28,1983,4,Apr-83,,,,-0.89,-1.37,,,
16.23,1983,5,May-83,,,,-1.18,-0.98,,,
14.77,1983,6,Jun-83,,,,-0.88,-0.78,,,
13.85,1983,7,Jul-83,,,,-0.54,-0.68,,,
13.55,1983,8,Aug-83,,,,-0.42,-0.46,,,
13.99,1983,9,Sep-83,,,,-0.39,-0.26,,,
15.20,1983,10,Oct-83,,,,-0.09,-0.14,,,
16.78,1983,11,Nov-83,,,,0.15,-0.25,,,
18.23,1983,12,Dec-83,,,,0.04,-0.32,,,
18.86,1984,1,Jan-84,,,,-0.97,-0.39,,,
19.76,1984,2,Feb-84,,,,-0.75,-0.45,,,
19.98,1984,3,Mar-84,,,,-0.40,-0.55,,,
19.01,1984,4,Apr-84,,,,-0.17,-0.34,,,
16.97,1984,5,May-84,,,,-0.44,-0.09,,,
15.68,1984,6,Jun-84,,,,0.04,0.10,,,
14.91,1984,7,Jul-84,,,,0.53,0.22,,,
14.51,1984,8,Aug-84,,,,0.54,0.34,,,
14.80,1984,9,Sep-84,,,,0.42,0.44,,,
15.48,1984,10,Oct-84,,,,0.20,0.62,,,
17.15,1984,11,Nov-84,,,,0.52,0.68,,,
19.60,1984,12,Dec-84,,,,1.41,0.70,,,
20.70,1985,1,Jan-85,,,,0.87,0.75,,,
21.03,1985,2,Feb-85,,,,0.52,0.61,,,
20.81,1985,3,Mar-85,,,,0.43,0.29,,,
19.00,1985,4,Apr-85,,,,-0.17,0.17,,,
17.20,1985,5,May-85,,,,-0.22,0.15,,,
15.93,1985,6,Jun-85,,,,0.28,0.10,,,
14.82,1985,7,Jul-85,,,,0.43,0.17,,,
14.15,1985,8,Aug-85,,,,0.17,0.24,,,
14.53,1985,9,Sep-85,,,,0.15,0.18,,,
15.43,1985,10,Oct-85,,,,0.15,0.20,,,
16.61,1985,11,Nov-85,,,,-0.02,0.35,,,
18.73,1985,12,Dec-85,,,,0.55,0.41,,,
20.76,1986,1,Jan-86,,,,0.93,0.51,,,
20.93,1986,2,Feb-86,,,,0.41,0.55,,,
21.03,1986,3,Mar-86,,,,0.66,0.54,,,
19.39,1986,4,Apr-86,,,,0.22,0.40,,,
17.90,1986,5,May-86,,,,0.49,0.32,,,
15.89,1986,6,Jun-86,,,,0.24,0.18,,,
14.39,1986,7,Jul-86,,,,0.01,0.07,,,
13.93,1986,8,Aug-86,,,,-0.05,-0.04,,,
14.04,1986,9,Sep-86,,,,-0.34,-0.09,,,
15.22,1986,10,Oct-86,,,,-0.06,-0.09,,,
16.64,1986,11,Nov-86,,,,0.01,-0.16,,,
18.19,1986,12,Dec-86,,,,0.00,-0.18,,,
19.44,1987,1,Jan-87,,,,-0.40,-0.42,,,
20.06,1987,2,Feb-87,,,,-0.46,-0.60,,,
19.14,1987,3,Mar-87,,,,-1.23,-0.70,,,
18.28,1987,4,Apr-87,,,,-0.90,-0.64,,,
16.89,1987,5,May-87,,,,-0.53,-0.58,,,
15.53,1987,6,Jun-87,,,,-0.11,-0.31,,,
14.25,1987,7,Jul-87,,,,-0.14,-0.14,,,
14.09,1987,8,Aug-87,,,,0.11,-0.15,,,
14.35,1987,9,Sep-87,,,,-0.03,-0.14,,,
14.70,1987,10,Oct-87,,,,-0.58,-0.13,,,
16.58,1987,11,Nov-87,,,,-0.05,-0.21,,,
18.06,1987,12,Dec-87,,,,-0.12,-0.13,,,
19.58,1988,1,Jan-88,,,,-0.25,-0.12,,,
20.87,1988,2,Feb-88,,,,0.36,-0.19,,,
19.84,1988,3,Mar-88,,,,-0.54,-0.17,,,
18.79,1988,4,Apr-88,,,,-0.39,-0.08,,,
17.37,1988,5,May-88,,,,-0.04,-0.10,,,
15.84,1988,6,Jun-88,,,,0.19,0.13,,,
14.69,1988,7,Jul-88,,,,0.30,0.24,,,
14.56,1988,8,Aug-88,,,,0.58,0.21,,,
14.56,1988,9,Sep-88,,,,0.18,0.15,,,
15.07,1988,10,Oct-88,,,,-0.21,0.29,,,
16.53,1988,11,Nov-88,,,,-0.10,0.36,,,
19.20,1988,12,Dec-88,,,,1.01,0.45,,,
20.75,1989,1,Jan-89,,,,0.92,0.64,,,
21.13,1989,2,Feb-89,,,,0.61,0.76,,,
21.15,1989,3,Mar-89,,,,0.77,0.70,,,
19.64,1989,4,Apr-89,,,,0.46,0.67,,,
18.12,1989,5,May-89,,,,0.71,0.65,,,
16.46,1989,6,Jun-89,,,,0.82,0.52,,,
14.90,1989,7,Jul-89,,,,0.51,0.52,,,
14.06,1989,8,Aug-89,,,,0.08,0.50,,,
14.88,1989,9,Sep-89,,,,0.50,0.51,,,
15.88,1989,10,Oct-89,,,,0.60,0.43,,,
17.51,1989,11,Nov-89,,,,0.88,0.25,,,
18.26,1989,12,Dec-89,,,,0.07,0.38,,,
19.04,1990,1,Jan-90,,,,-0.79,0.39,,,
21.64,1990,2,Feb-90,,,,1.13,0.31,,,
21.05,1990,3,Mar-90,,,,0.67,0.29,,,
19.65,1990,4,Apr-90,,,,0.48,0.42,,,
17.35,1990,5,May-90,,,,-0.06,0.25,,,
15.54,1990,6,Jun-90,,,,-0.10,0.17,,,
14.64,1990,7,Jul-90,,,,0.25,0.05,,,
14.25,1990,8,Aug-90,,,,0.27,0.12,,,
14.24,1990,9,Sep-90,,,,-0.14,0.24,,,
15.60,1990,10,Oct-90,,,,0.31,0.24,,,
17.14,1990,11,Nov-90,,,,0.51,0.01,,,
18.42,1990,12,Dec-90,,,,0.23,-0.10,,,
18.95,1991,1,Jan-91,,,,-0.88,-0.24,,,
19.84,1991,2,Feb-91,,,,-0.68,-0.44,,,
19.98,1991,3,Mar-91,,,,-0.40,-0.61,,,
18.70,1991,4,Apr-91,,,,-0.47,-0.52,,,
16.76,1991,5,May-91,,,,-0.65,-0.43,,,
15.22,1991,6,Jun-91,,,,-0.42,-0.38,,,
14.17,1991,7,Jul-91,,,,-0.21,-0.33,,,
13.84,1991,8,Aug-91,,,,-0.13,-0.34,,,
14.13,1991,9,Sep-91,,,,-0.25,-0.46,,,
14.62,1991,10,Oct-91,,,,-0.66,-0.65,,,
15.58,1991,11,Nov-91,,,,-1.05,-0.77,,,
17.05,1991,12,Dec-91,,,,-1.14,-0.84,,,
19.06,1992,1,Jan-92,,,,-0.77,-1.02,,,
19.92,1992,2,Feb-92,,,,-0.59,-1.21,,,
18.82,1992,3,Mar-92,,,,-1.55,-1.27,,,
17.20,1992,4,Apr-92,,,,-1.98,-1.31,,,
15.96,1992,5,May-92,,,,-1.45,-1.32,,,
14.69,1992,6,Jun-92,,,,-0.96,-1.17,,,
13.73,1992,7,Jul-92,,,,-0.66,-1.04,,,
13.17,1992,8,Aug-92,,,,-0.81,-0.95,,,
13.04,1992,9,Sep-92,,,,-1.34,-0.78,,,
14.28,1992,10,Oct-92,,,,-1.00,-0.63,,,
16.53,1992,11,Nov-92,,,,-0.10,-0.49,,,
18.29,1992,12,Dec-92,,,,0.10,-0.50,,,
19.70,1993,1,Jan-93,,,,-0.13,-0.54,,,
19.14,1993,2,Feb-93,,,,-1.37,-0.68,,,
19.20,1993,3,Mar-93,,,,-1.18,-0.84,,,
18.33,1993,4,Apr-93,,,,-0.85,-0.94,,,
16.73,1993,5,May-93,,,,-0.68,-0.85,,,
15.02,1993,6,Jun-93,,,,-0.63,-0.76,,,
13.46,1993,7,Jul-93,,,,-0.93,-0.73,,,
13.28,1993,8,Aug-93,,,,-0.70,-0.66,,,
13.67,1993,9,Sep-93,,,,-0.71,-0.65,,,
14.93,1993,10,Oct-93,,,,-0.35,-0.72,,,
16.05,1993,11,Nov-93,,,,-0.58,-0.59,,,
16.92,1993,12,Dec-93,,,,-1.27,-0.40,,,
19.79,1994,1,Jan-94,,,,-0.04,-0.39,,,
